monotona,32,10,1,2.25148,118,162,undefined
monotona,32,10,2,1.525941,113,178,undefined
monotona,32,10,3,0.34004,118,174,undefined
monotona,32,10,4,0.159358,95,206,undefined
monotona,32,10,5,0.183825,100,149,undefined
monotona,32,10,6,0.170724,90,154,undefined
monotona,32,10,7,1.222082,128,176,undefined
monotona,32,10,8,0.206697,133,180,undefined
monotona,32,10,9,0.182302,120,163,undefined
monotona,32,10,10,0.151122,96,165,undefined
monotona,100,10,1,0.647115,383,550,undefined
monotona,100,10,2,0.558572,369,541,undefined
monotona,100,10,3,0.526949,360,551,undefined
monotona,100,10,4,0.8240369999999999,502,492,undefined
monotona,100,10,5,0.7839539999999999,478,547,undefined
monotona,100,10,6,0.6303369999999999,408,556,undefined
monotona,100,10,7,1.021718,467,498,undefined
monotona,100,10,8,0.653608,435,545,undefined
monotona,100,10,9,0.758679,497,533,undefined
monotona,100,10,10,0.7352639999999999,505,504,undefined
monotona,90,20,1,2.221937,625,247,undefined
monotona,90,20,2,1.1348939999999998,690,226,undefined
monotona,90,20,3,1.159864,673,237,undefined
monotona,90,20,4,105.157305,576,255,undefined
monotona,90,20,5,0.8982439999999999,478,251,undefined
monotona,90,20,6,1.24623,685,231,undefined
monotona,90,20,7,1.285633,710,250,undefined
monotona,90,20,8,1.0437859999999999,526,236,undefined
monotona,90,20,9,1.03348,537,238,undefined
monotona,90,20,10,1.78324,698,249,undefined
monotona,400,20,1,7.4110629999999995,4003,1029,undefined
monotona,400,20,2,7.500172999999999,3980,1014,undefined
monotona,400,20,3,7.693616,4048,1069,undefined
monotona,400,20,4,8.240357999999999,4183,1051,undefined
monotona,400,20,5,6.399909,3282,1071,undefined
monotona,400,20,6,6.96021,3797,1063,undefined
monotona,400,20,7,6.236674,3504,1062,undefined
monotona,400,20,8,6.630758999999999,3490,1010,undefined
monotona,400,20,9,7.942137,4139,1071,undefined
monotona,400,20,10,6.876761999999999,4036,1059,undefined
monotona,354,50,1,15.798587,5378,365,undefined
monotona,354,50,2,15.463854,5699,378,undefined
monotona,354,50,3,15.056484,5561,384,undefined
monotona,354,50,4,15.503931,5541,361,undefined
monotona,354,50,5,14.759314999999999,5262,360,undefined
monotona,354,50,6,15.388639,5728,404,undefined
monotona,354,50,7,19.438955999999997,5743,377,undefined
monotona,354,50,8,18.602448,5264,364,undefined
monotona,354,50,9,17.065922999999998,6345,368,undefined
monotona,354,50,10,14.628473999999999,5453,380,undefined
monotona,2500,50,1,189.083552,60365,2592,undefined
monotona,2500,50,2,171.270442,55324,2588,undefined
monotona,2500,50,3,197.544453,62730,2591,undefined
monotona,2500,50,4,189.66903399999998,60678,2534,undefined
